source_id,source_name,source_url,source_type,ioos_region_code,priority_tier,briefing_role,impact_domains,staged_row_ids,key_metrics,evidence_profile,attribution_profile,recommended_claim_language,caveats,source_verification_needed,status
bs-001-nos-2013-annual-report,National Ocean Service 2013 Annual Report,https://cdn.oceanservice.noaa.gov/oceanserviceprod/annualreport/2013/nos_2013_report.pdf,official annual report,MARACOOS,primary,Use for direct IOOS emergency-response stories from Hurricane Sandy.,Emergency response,22; 23,More than 23000 cargo containers diverted before Sandy; 80 ships sent out of Hampton Roads at a cost of $10 million; historic comparison suggested up to $500 million in ship damage could otherwise have occurred.,Strong operational case evidence from an official NOAA/NOS report.,Strong IOOS attribution in staged evidence for event-specific decision support.,NOAA reports that IOOS-supported information informed pre-storm vessel and cargo decisions during Sandy; use as operational benefit evidence and treat avoided-damage figures cautiously.,Single-event administrative case study; no full counterfactual dollar impact; source still needs page-level verification before final citation.,Yes,planned
bs-002-ports-tampa-bay-case-study,Estimating Economic Benefits from NOAA PORTS Information: A Case Study of Tampa Bay,https://tidesandcurrents.noaa.gov/publications/Estimated_Economic_Benefits_from_NOAA_PORTS_report.pdf,case study,GCOOS,primary,Use for quantified PORTS benefits in port efficiency maritime safety and emergency response.,Port efficiency; Maritime safety; Coastal economies; Emergency response,PE-002; MS-001; CE-006; 24; 25,$4.4-$7.0 million annual realized quantifiable benefit; $1.1 million potential phosphate-trade benefit; 1.3-3.2 deep-draft groundings per year potentially prevented; $200000-$900000 spill-response benefit; $500000 storm-surge response value.,Local case-study valuation with several modeled or assumption-driven components.,Strong to medium PORTS attribution; PORTS is NOAA observing infrastructure and staged evidence treats several rows as strong attribution.,"Case-study evidence suggests Tampa Bay PORTS produced measurable annual benefits, but quantified claims should be presented as local estimates and lower-bound or modeled values as appropriate.",Older case study; local conditions may not generalize; several components depend on expert judgment assumptions or hypothetical scenarios; verify tables and dollar years.,Yes,planned
bs-003-ports-houston-galveston-case-study,Estimating Economic Benefits from NOAA PORTS Information: A Case Study of Houston/Galveston,https://tidesandcurrents.noaa.gov/publications/EstimatingEconomicBenefitsfromNOAAPORTSInformation_Houston-Galveston.pdf,case study,GCOOS,primary,Use for the strongest port-safety and realized annual PORTS benefit example.,Port efficiency; Maritime safety; Coastal economies; Emergency response,PE-003; PE-004; PE-009; MS-002; CE-007; 26; 27,$14.1-$15.6 million annual realized quantifiable benefit; about $10.5 million per year in avoided grounding costs; $1.0 million annual spill-response benefit; $500000 storm-surge response value; smaller draft and delay savings.,Local case-study valuation combining observed relationships with modeled assumptions.,Strong to medium PORTS attribution depending on row; safety and emergency rows are staged as strong attribution.,"Case-study evidence suggests Houston/Galveston PORTS generated measurable annual benefits, especially through grounding-risk reduction and emergency-response support.",Causality is not proven; some estimates use conservative attribution assumptions and dated damage models; verify table values and dollar years.,Yes,planned
bs-004-ports-columbia-river-case-study,Estimating Economic Benefits from NOAA PORTS Information: A Case Study of the Columbia River,https://tidesandcurrents.noaa.gov/publications/Columbia_River_PORTS_Economic_Study.pdf,case study,NANOOS,primary,Use for Lower Columbia River navigation efficiency safety and response benefits.,Port efficiency; Maritime safety; Coastal economies; Emergency response,PE-005; PE-006; MS-003; CE-008; 28; 29,$7.4 million per year realized quantifiable benefit; $4.0 million cargo-efficiency value; $800000 delay-cost savings; $1.5 million avoided accident costs; $100000 spill-response benefit; $1.0 million flood-warning benefit.,Local PORTS/LOADMAX case-study valuation with modeled components.,Strong to medium PORTS attribution depending on row; LOADMAX/PORTS linkage is direct but some benefit pathways are assumption-sensitive.,"Case-study evidence suggests Columbia River PORTS/LOADMAX data supported cargo efficiency, safety, and response decisions with measurable annual benefits.",Some estimates are lower-confidence; hazardous-material and flood benefits depend heavily on assumed probabilities and contribution factors; verify tables before use.,Yes,planned
bs-005-ioos-prototype-user-valuation,The U.S. Integrated Ocean Observing System (IOOS): A Prototype User Valuation,https://ioosassociation.org/wp-content/uploads/2023/03/The-U.S.-Integrated-Ocean-Observing-System-IOOS_-A-Prototype-U.pdf,valuation study,Multiple,primary,Use for the aggregate user value of IOOS Regional Association data services.,Coastal economies,CE-003,$198.0 million annual total user value for data services at nine participating IOOS Regional Associations.,Modeled survey-based prototype valuation.,Strong IOOS attribution for participating Regional Association data services.,A prototype valuation estimated about $198 million per year in user value for data services from nine participating IOOS Regional Associations.,Prototype contingent-valuation study; not comprehensive for all IOOS benefits; limited to participating RAs and accessed data services; verify method and cited value before final use.,Yes,planned
bs-006-hf-radar-network-applications,The Integrated Ocean Observing System High-Frequency Radar Network: Status and Local Regional and National Applications,https://cdn.ioos.noaa.gov/media/2017/12/hfr_mts_nov2010harlan_final_optimzd.pdf,technical paper,National,primary,Use for strong operational HF radar search-and-rescue evidence.,Emergency response,21,Search area reduced by about two-thirds after 96 hours when HF radar data were used in SAROPS.,Strong operational demonstration evidence; not monetized.,Strong IOOS attribution in staged evidence through the national HF radar network.,Operational evidence indicates IOOS HF radar can substantially narrow maritime search areas in some cases.,Figure-based demonstration rather than broad monetized evaluation; may not generalize to all rescues or geographies; verify figure and context.,Yes,planned
bs-007-national-ioos-hf-radar-sar-project,National IOOS HF Radar Search and Rescue Project,https://rucool.marine.rutgers.edu/media/downloads/papers/National%20IOOS%20High%20Frequency%20Radar%20SAR%20Project.pdf,project report,National,supporting,Use to support HF radar transition into USCG SAROPS and national SAR potential.,Maritime safety,MS-009; MS-010,HF-radar-derived search area was three times smaller than HYCOM-derived search area in a simulated case; USCG estimate of 50 additional lives saved each year after national implementation.,Modeled or demonstrated project evidence; not a direct economic valuation.,Strong IOOS attribution in staged evidence for HF radar and SAROPS integration.,IOOS-supported HF radar data improved SAROPS search-area performance in demonstrated cases and could improve national SAR outcomes under implementation assumptions.,Simulated and prospective evidence; no monetized life-saving estimate in this source; verify underlying Coast Guard estimate before using prominently.,Yes,planned
bs-008-pnw-hab-forecast-value,Assessing the value of harmful algal bloom forecasts in the Pacific Northwest,https://doi.org/10.1093/icesjms/fsae126,peer-reviewed article,NANOOS,primary,Use as the best seafood/HAB quantified value-of-information example.,Seafood competitiveness; Coastal economies,CE-010; SEAFOOD-006,Modeled annual HAB forecast value around $1.6 million under plausible scenarios; modeled range $0.4-$3.0 million per year; operating cost comparison around $1.2 million.,Modeled value-of-information analysis.,Strong to contextual attribution; values the Pacific Northwest HAB bulletin and observing/forecast system rather than IOOS alone.,Modeled evidence indicates the Pacific Northwest HAB forecast system can generate positive annual economic value for shellfish-management decisions.,Scenario-dependent; depends on forecast accuracy event frequency and management response assumptions; verify access to article details before final citation.,Yes,planned
bs-009-noaa-ioos-ocean-enterprise-studies,NOAA/IOOS Ocean Enterprise Studies,https://ioos.noaa.gov/project/ocean-enterprise-study/,survey,National,primary,Use for ocean technology sector scale and competitiveness context.,Ocean technology industry scale; Ocean technology workforce; Ocean technology revenue; International competitiveness; Sector growth; Business-base expansion; Market diversification,OTL-001; OTL-002; OTL-003; OTL-004; OTL-005; OTL-006; OTL-007,814 U.S. Ocean Enterprise businesses; about 325000 employees; $8 billion revenue; 22 percent export revenue; 7 percent real-dollar growth from 2015 to 2020; almost 60 percent increase in identified businesses.,Strong survey-based sector-scale evidence.,Contextual attribution; measures broader ocean observing and information services rather than IOOS-caused revenue or jobs.,NOAA/IOOS studies show that ocean observing and information services are a measurable U.S. technology cluster with significant revenue employment and export activity.,Do not present revenue employment or growth as caused by IOOS; sector definitions and survey methods affect comparability; verify latest report and definitions.,Yes,planned
bs-010-us-marine-economy-report-2024,2024 U.S. Marine Economy Report,https://coast.noaa.gov/data/digitalcoast/pdf/econ-report.pdf,official economic report,National,context,Use to frame the size of coastal and marine sectors affected by observing services.,Coastal economies,CE-001,3.2 million employees; $369 billion in goods and services; $148 billion in wages in the U.S. marine economy.,Strong economic baseline evidence.,Contextual attribution only; not an IOOS impact estimate.,"NOAA data show the marine economy is large, which helps explain why coastal observations and decision support matter.",Use only for context and exposure; not IOOS-attributable benefit; excludes some employment categories; verify year and ENOW basis.,Yes,planned
