row_id,impact_domain,ioos_component,region,ioos_region_code,user_group,decision_supported,economic_pathway,metric,metric_year_or_dollar_year,source_id,evidence_strength,ioos_attribution_strength,source_verification_needed,limitations,claim_allowed,update_frequency,ai_extraction_notes
EVID-0001,PORTS / maritime transportation,Tampa Bay PORTS®,Tampa Bay FL,GCOOS,Commercial vessels; pilots; port users; recreational boaters,Vessel movement; cargo loading; grounding avoidance; spill response,Avoided costs; increased loading efficiency; reduced delays; improved spill response,Estimated $2.4M-$4.8M in high-confidence direct annual benefits and $4.4M-$7.0M in presently realized quantifiable annual benefit,2005 dollars,src-001-noaa-ports-tampa-bay-benefit-study,Strong,Strong,No,One-time case study; results should not be generalized nationally without method adjustment.,A NOAA-sponsored Tampa Bay case study estimated measurable annual benefits from PORTS® data.,One-time case study; check for updated valuation,Extract benefit categories separately; do not generalize nationally without method.
EVID-0002,PORTS / maritime transportation,Lower Columbia River PORTS®,Lower Columbia River OR/WA,NANOOS,Port operators; pilots; commercial shipping,Draft/loading decisions; transit efficiency,Increased cargo loading; avoided costs; direct income,Reported $6.4M estimated annual benefit from Lower Columbia River PORTS; separate study notes about $2.8M annual potential benefit for dry bulk loading decisions,Needs verification,src-002-noaa-co-ops-ports-economic-study-summary,Needs verification,Medium,Yes,Needs source verification against original PORTS valuation report; current source appears to be a secondary compilation/report.,"Lower Columbia River evidence suggests PORTS® can support loading/navigation decisions with measurable economic benefits, pending source verification.",One-time case study,Follow up with full PDF/table values and assumptions.
EVID-0003,PORTS / maritime transportation,Expanded national PORTS® scenario,U.S. major seaports,National,NOAA; port authorities; vessel operators; policymakers,National investment and port coverage decisions,Safety and efficiency benefits from expanded real-time navigation information,Estimated as much as $300M annual benefit from expanded PORTS® serving 175 major seaports; potential 10-year NPV up to $2.5B; nearly 60% reduction in groundings at some PORTS-served seaports,Needs verification,src-003-noaa-value-of-ports-to-the-nation,Modeled,Medium,Yes,Modeled/scenario estimate; not current realized annual IOOS benefit; assumptions need review before use.,"NOAA estimated large potential benefits from expanded PORTS® coverage, based on case-study evidence and modeling.",Periodic; not quarterly,"Flag as modeled scenario, not current realized annual IOOS benefit."
EVID-0004,PORTS / maritime transportation,NOAA PORTS® operational data,U.S. ports and harbors,National,Mariners; pilots; port authorities; coastal managers,Safe navigation; port timing; coastal resource management,Reduced risk and improved operational efficiency,Not quantified in source; PORTS collects water levels currents salinity bridge air gap and meteorological parameters,Not applicable,src-004-noaa-co-ops-ports-program-page,Medium,Medium,No,Operational source documents decision-support capability but does not quantify economic value.,PORTS® is a decision-support system for safe and efficient maritime commerce.,Real-time / quarterly status check,Extract active systems sensor types users and whether an economic study exists.
EVID-0005,HABs / shellfish closures,NOAA HAB forecasts,Florida; Texas; Gulf of Maine; Lake Erie; Pacific Northwest partner forecasts; other regions,Multiple,Health officials; shellfish managers; water treatment operators; seafood/tourism sectors,Sampling; beach advisories; shellfish closures; water treatment timing,Reduced false alarms; targeted monitoring; avoided illness; reduced unnecessary closures,Forecasts can be short-term once or twice weekly; economic value not quantified in source,Current program description,src-005-noaa-nccos-hab-forecasts,Medium,Medium,No,Source supports forecast function and decision relevance but not quantified economic value.,HAB forecasts help managers focus testing and guide closure/advisory decisions.,Weekly / seasonal / quarterly summary,Extract region forecast frequency manager decision and closure/advisory link.
EVID-0006,HABs / shellfish closures,NOAA HAB forecasting project,Multiple U.S. HAB regions,Multiple,States; local managers; shellfisheries; water treatment facilities,Where/when to sample; when to close/reopen areas,Lower monitoring costs; fewer false alarms; earlier harvest before closures,Source says forecasts target sampling save localities money help shellfisheries stay open or harvest earlier; dollar value not quantified,Not quantified in source,src-006-noaa-nccos-hab-forecasting-project,Medium,Medium,No,Economic pathway is described qualitatively; no dollar estimate in source.,HAB forecasts can reduce unnecessary response costs and support more targeted closures where operational use is documented.,Ongoing / quarterly scan,Good candidate for follow-up with state closure datasets.
EVID-0007,HABs / shellfish closures,HAB monitoring / closure evidence,Washington and Oregon coast,NANOOS,Shellfish managers; recreational harvesters; Tribal users; coastal businesses,Razor clam harvest closures,Lost recreational spending and harvest access,Year-long domoic acid closures; estimated $10M-$12M reduced recreational spending for most recent closure,Needs verification,src-007-whoi-hab-socioeconomic-impacts,Contextual,Contextual,Yes,"Not IOOS-specific; use as evidence of HAB economic consequences, not IOOS benefit.",HAB-related shellfish closures can have measurable local economic impacts.,Event-based,Use as exposure/economic consequence; do not frame as IOOS-attributable benefit.
EVID-0008,HABs / shellfish closures,NERACOOS HAB data,Gulf of Maine,NERACOOS,State/federal shellfish managers; coastal communities,Shellfish closure and public health response,Better closure timing and community response,Data described as crucial in developing community response and state/federal shellfish closures during historic 2005 PSP event; economic value not quantified,2005 event,src-008-neracoos-hab-project-page,Medium,Medium,Yes,Source supports decision relevance but not quantified economic value; needs state closure and economic records for stronger claim.,Regional observing data supported shellfish closure and response decisions during a major HAB event.,Case-study / event-based,Follow up with closure duration affected acreage shellfish value and state agency records.
EVID-0009,HF radar / search and rescue,IOOS HF radar surface currents + USCG SAROPS,National coastal network,National,USCG SAR planners,Drift prediction; search area planning; rescue asset allocation,Reduced search area; improved probability of success; lower sortie time/cost; lives/property saved,Not quantified in source; IOOS provides gridded HF radar data and SAROPS uses environmental data for maritime search planning,Not quantified in source,src-009-ioos-hf-radar-sarops-documentation-and-usc,Medium,Medium,No,Clear operational pathway but no quantified economic outcome in source.,HF radar surface-current data support USCG search planning through SAROPS.,Annual / event-based,Need case-level SAR records to quantify time sorties lives or property saved.
EVID-0010,HF radar / search and rescue,SCCOOS HF radar,Southern California,SCCOOS,USCG; maritime operators; responders,Search area reduction and SAR planning,Increased search efficiency and response effectiveness,Source says integration of HF radar current data into SAROPS reduces search areas and increases search effectiveness; no numeric value provided,Not quantified in source,src-010-sccoos-hf-radar-page,Medium,Medium,No,Regional product page supports decision pathway but does not quantify economic outcomes.,Regional HF radar data can improve SAR planning by reducing search areas.,Quarterly status / case-study,Follow up with USCG district examples and SAROPS case documentation.
EVID-0011,Ocean acidification / shellfish hatcheries,IOOS Pacific Region OA Data Portal / Burkolator stations,Alaska; California; Hawaii; Oregon; Washington,AOOS; CeNCOOS; NANOOS; PacIOOS; SCCOOS,Shellfish growers; hatcheries; researchers; managers,Intake-water timing; buffering; production scheduling,Avoided larval losses; reduced wasted effort; protected hatchery production,Portal delivers real-time OA data streams; project deployed new Burkolator stations at Carlsbad Aquafarm Hog Island Oyster Co. and Alutiiq Pride supplementing Whiskey Creek and Taylor Shellfish sites,Current program/project description,src-011-ioos-pacific-oa-data-portal-launch,Medium,Medium,No,Source documents monitoring infrastructure and users but not quantified economic outcomes.,IOOS-supported OA monitoring provides real-time information used by shellfish growers and hatcheries.,Real-time / quarterly summary,Extract station operator parameter and documented management decision.
EVID-0012,Ocean acidification / shellfish hatcheries,OA monitoring and early warning,Pacific Northwest,NANOOS,Oyster hatchery managers; growers,Schedule production; buffer/adjust intake water; avoid poor water-quality periods,Reduced hatchery mortality risk and wasted resources,West Coast shellfish described as a $111M industry; monitoring gives 1-2 day early warning of acidified seawater and helps managers schedule or adjust production,Needs verification,src-012-nanoos-oa-in-the-pacific-northwest,Medium,Medium,Yes,Industry value is exposure/context; source does not quantify IOOS-attributable avoided losses.,OA observations support hatchery decisions that reduce operational risk.,Real-time / quarterly summary,Strong follow-up row if hatchery outcomes or cost savings can be documented.
EVID-0013,Ocean acidification / shellfish hatcheries,NOAA + IOOS OA observations,West Coast shellfish industry,CeNCOOS; NANOOS; SCCOOS,NOAA; IOOS; coastal partners; shellfish hatcheries,Early warning and adaptation to acidified seawater,Protected production timing and water treatment decisions,NOAA Fisheries states OA nearly collapsed the $117M West Coast shellfish industry; NOAA/IOOS data enabled early warning for acidified seawater and hatchery scheduling/intake decisions,Needs verification,src-013-noaa-fisheries-oa-overview,Medium,Medium,Yes,"$117M is industry exposure/risk context, not quantified IOOS savings; wording must avoid implying IOOS saved the full industry value.",NOAA and IOOS observations helped coastal partners develop early warning information for hatchery management.,Periodic / case-study,"Avoid wording 'IOOS saved $117M'; source describes industry at risk, not quantified IOOS savings."
EVID-0014,Ocean Enterprise,NOAA IOOS Ocean Enterprise Study,United States,National,Ocean observing/data businesses; NOAA; policymakers; investors,Industry assessment; workforce/market planning; public-private engagement,Business revenue; jobs; exports; innovation,2020 survey identified 814 businesses about 325000 employees and estimated $8B Ocean Enterprise revenue; 22% of revenue from exports,2020 survey / revenue year needs verification,src-014-noaa-ioos-ocean-enterprise-study,Strong,Contextual,No,Strong for Ocean Enterprise sector scale; not direct evidence that IOOS caused all revenue or jobs.,The Ocean Enterprise is a measurable business cluster tied to ocean observing and information services.,Periodic study; annual proxy possible via QCEW/CBP,Do not claim IOOS created all revenue/jobs; extract definitions and survey method.
EVID-0015,Coastal hazards / resilience,IOOS hurricane glider coordination,Atlantic basin; Caribbean; Gulf; Mid-Atlantic; South Atlantic,CARICOOS; GCOOS; MARACOOS; SECOORA,NOAA; NWS; Navy; emergency managers; modelers,Hurricane intensity modeling and forecast support,Better forecast inputs; improved preparedness; risk reduction,Not quantified in source; glider data are delivered to global ocean circulation models and realistic ocean conditions help produce more accurate hurricane intensity forecasts,Not quantified in source,src-015-ioos-hurricane-glider-coordination,Medium,Medium,No,Clear forecast-support role but no economic valuation or avoided-loss attribution in source.,IOOS-coordinated glider observations support hurricane intensity forecasting.,Seasonal / annual retrospective,Need forecast verification and avoided-loss studies before economic claims.
EVID-0016,Coastal hazards / resilience,NOAA Coastal Inundation Dashboard / NWLON,U.S. coasts; Puerto Rico; U.S. Virgin Islands; Hawaii; select Pacific islands; southeast Alaska,National,Emergency managers; NWS; coastal planners; public,Flood monitoring; warning awareness; threshold-based response,Better preparedness; road/facility closure planning; reduced uncertainty,Not quantified in source; dashboard uses NOAA water-level stations and provides current/historical inundation information; NWLON has over 200 long-term water-level stations,Current program description,src-016-noaa-co-ops-inundation-dashboard,Medium,Medium,No,"Decision-support source, not avoided-damage valuation.",NOAA water-level observations support coastal inundation monitoring and local flood decision-making.,Real-time / event-based / quarterly summary,Extract station threshold flood advisory and local decision; avoid avoided-damage claims without BCA.
EVID-0017,Coastal hazards / resilience,NOAA Digital Coast,National coastal communities,National,Community leaders; planners; coastal managers,Locate/apply coastal data and tools for resilience planning,Time savings; better planning; reduced data access costs,Estimated annual net benefits grew from $2.3M in 2009 to more than $6.7M in 2013; projected 15-year net benefit $117M and ROI 411%,2009-2013 benefits; projection period needs verification,src-017-noaa-digital-coast-benefits-costs-report,Strong,Contextual,No,"Strong analogous valuation for coastal data infrastructure, but not IOOS-specific.",Related coastal data infrastructure can produce measurable planning and access benefits.,Periodic,"Use as analogous evidence for public data infrastructure value, not direct IOOS impact."
