row_id,Impact domain,IOOS component,Region,IOOS region code,User group,Decision supported,Economic pathway,Metric,Metric year / dollar year,Source,Source URL,Evidence strength,IOOS attribution strength,Source verification needed,Limitations,Claim allowed,Update frequency,AI extraction notes
MARACOOS-MA-001,HF radar / search and rescue,MARACOOS HF Radar Mid-Atlantic 6 km total vector product via Rutgers ERDDAP and RPS EDS,Mid-Atlantic,MARACOOS,U.S. Coast Guard SAROPS operators,Select and run search-and-rescue drift scenarios using regional surface current fields,Reduced search effort and faster incident response can lower operating costs and improve mission success,MARACOOS total vector data are harvested hourly by the EDS and made available to the USCG for SAROPS use,Not stated in source; 2021 plan document,MARACOOS Data Management Plan 2021 FINAL.docx,https://maracoos.org/wp-content/uploads/2026/02/MARACOOS-Data-Management-Plan-2021-FINAL.docx.pdf,Medium,Strong,Yes,Organizational technical document rather than an audited benefits study; no direct dollar estimate; 2021 document may not reflect later workflow changes; attribution is strong for data delivery but not for incident outcomes,MARACOOS documents that its regional HF-radar current products are delivered through an operational workflow used by U.S. Coast Guard SAROPS.,Hourly,Source says MARACOOS total vector data are harvested from Rutgers ERDDAP by the EDS and made available to USCG SAROPS.
MARACOOS-MA-002,HF radar / search and rescue,Mid-Atlantic HF radar currents used in SAROPS,Mid-Atlantic Bight,MARACOOS,U.S. Coast Guard search planners,Choose narrower search boxes after drift simulations,Smaller search areas imply lower search effort and potentially lower operating cost per case,"In a July 22-26 2009 test, simulated search area was 12,000 km2 with HF radar versus 36,000 km2 with HYCOM, a 66% decrease",2009,Flow of HF Radar Data and how it is being used by the United States Coast Guard for Search and Rescue,https://cdn.ioos.noaa.gov/media/2017/12/sarops_hfr_info2012.pdf,Strong,Medium,Yes,Older case study and not a MARACOOS-branded valuation; based on one test case; economic relevance is inferred from reduced search effort rather than directly monetized; Mid-Atlantic pathway uses Rutgers server in the source,A U.S. IOOS and Coast Guard case study found that Mid-Atlantic HF-radar inputs reduced a test SAROPS search area by 66 percent.,Case-study / event-based,"Source explicitly states UConn received Mid-Atlantic data from the Rutgers server and reports the 12,000 km2 versus 36,000 km2 comparison."
MARACOOS-MA-003,HF radar / search and rescue,"MARACOOS Doppio system, HF-radar network, and SST products",Mid-Atlantic,MARACOOS,"U.S. Coast Guard, recreational boaters, anglers, regional scientists",Use current predictions and SST in search-and-rescue and navigation decisions,Better drift guidance and navigation information can reduce response inefficiency and support safer trips,"Strategic plan says USCG relies on MARACOOS Doppio current predictions and HFR, with HFR a data supplier since May 2009; USCG also uses SST products for SAR",Since May 2009,MARACOOS Strategic Operational Plan 2021-2026,https://maracoos.org/wp-content/uploads/2023/08/MARACOOS_StrategicOperationalPlan_2021-2026-FINAL.pdf,Medium,Strong,Yes,"Planning document, not an external usage audit; no case counts or monetized benefits; source is from 2021-2026 planning period; operational detail should be rechecked against current practice","MARACOOS states that the U.S. Coast Guard relies on its Doppio currents, HF-radar network, and SST products for search-and-rescue related operations in the Mid-Atlantic.",Near-real-time operational products,Key extracted text is the explicit statement that USCG relies on MARACOOS Doppio and HFR and that HFR has supplied USCG since May 2009.
MARACOOS-MA-004,Maritime transportation / PORTS,MARACOOS HF-radar network supporting NOAA PORTS,New York Harbor and Chesapeake Bay,MARACOOS,"NOAA NOS, port pilots, vessel operators, NWS forecast offices",Use enhanced current information for navigation support and marine forecasting,Improved navigation and forecasting can reduce delays and operational risk in major waterways,"Strategic plan says NOAA NOS uses HFR to enhance PORTS for New York Harbor and Chesapeake Bay, and NWS WFOs use the data in AWIPS2 and Nearshore Wave Prediction Systems",Not stated in source; plan period 2021-2026,MARACOOS Strategic Operational Plan 2021-2026,https://maracoos.org/wp-content/uploads/2023/08/MARACOOS_StrategicOperationalPlan_2021-2026-FINAL.pdf,Medium,Strong,Yes,Planning document rather than independent verification; no quantified delay or accident reduction; attribution is specific to HFR enhancement but downstream benefit is not monetized; source age is moderate,MARACOOS states that its HF-radar data are used by NOAA to enhance PORTS products in New York Harbor and Chesapeake Bay.,Near-real-time operational products,Useful direct attribution row for maritime transportation; source links MARACOOS HFR to NOAA PORTS and NWS decision-support systems.
MARACOOS-MA-005,HF radar / search and rescue,MARACOOS New York HF-radar stations,New York Bight,MARACOOS,"U.S. Coast Guard, commercial mariners, recreational boaters",Target search-and-rescue activity and improve maritime safety decisions,Reduced search footprint and safer navigation can lower response burden and operational risk,MARACOOS says it operates six HF-radar stations across New York coastal waters and that the data enable USCG to reduce search areas by up to two-thirds,Not stated in source,New York - MARACOOS,https://maracoos.org/region/new-york/,Medium,Strong,Yes,Web summary page rather than primary USCG documentation; no incident counts or cost figures; search-area claim should be cross-checked against case-study sources; geography limited to New York Bight,MARACOOS says its New York HF-radar network supports Coast Guard search-and-rescue and maritime safety in the New York Bight.,Real-time,"Region page provides a clear MARACOOS-attributed statement: six stations, NY Bight, and up-to-two-thirds search-area reduction."
MARACOOS-MA-006,HF radar / search and rescue,MARACOOS Lewes HF-radar stations,Delaware Bay,MARACOOS,"U.S. Coast Guard, coastal mariners",Use surface current data for search-and-rescue planning in Delaware Bay,Faster and narrower searches can reduce response effort and protect property,MARACOOS says two Lewes HF-radar stations provide real-time surface-current data and reduce search areas by two-thirds,Not stated in source,Delaware Bay - MARACOOS,https://maracoos.org/region/delaware-bay/,Medium,Strong,Yes,Web summary page; no independent case file or monetized savings; search-area reduction likely derives from broader HF-radar literature rather than a Delaware-only valuation; page date not explicit,MARACOOS says its Delaware Bay HF-radar stations provide real-time current data for Coast Guard search-and-rescue use.,Real-time,Useful local Delaware Bay row with direct MARACOOS attribution and explicit decision use.
MARACOOS-MA-007,HF radar / search and rescue,Assateague Island HF radar,Chesapeake Bay entrance / Mid-Atlantic coast,MARACOOS,U.S. Coast Guard,Use surface currents to narrow search areas in rescue cases,Improved rescue efficiency can reduce operating costs and speed response,MARACOOS says its Assateague Island HF radar aids Coast Guard search and rescue and reduces search areas by up to two-thirds,Not stated in source,Chesapeake Bay - MARACOOS,https://maracoos.org/region/chesapeake-bay/,Medium,Strong,Yes,"Web summary page, not an incident-level evaluation; no dollar estimate; claim may rest on broader network evidence rather than Assateague-only measurement; page date not explicit",MARACOOS says its Assateague HF radar supports Coast Guard search-and-rescue decisions at the Chesapeake Bay entrance.,Real-time,"Direct MARACOOS asset named in source; conservative use is support for SAR decisions, not quantified savings."
MARACOOS-MA-008,HF radar / search and rescue,"Virginia HF-radar stations at Virginia Beach, Cape Charles, and Cedar Island",Virginia coast,MARACOOS,"U.S. Coast Guard, commercial navigators",Use real-time currents for search-and-rescue and navigation decisions,Better current data can support safer navigation and more efficient emergency response,MARACOOS says it supports four HF-radar stations in Virginia and that these help cut search areas by two-thirds while supporting navigation,Not stated in source,Virginia - MARACOOS,https://maracoos.org/region/virginia/,Medium,Strong,Yes,Web summary page; no port-delay or SAR-cost accounting; source combines several sites and user groups; underlying quantified search-area evidence should be verified against primary SAROPS studies,MARACOOS says its Virginia HF-radar stations support Coast Guard search-and-rescue and commercial navigation decisions.,Real-time,Row adds southern Mid-Atlantic coverage and ties direct MARACOOS asset support to maritime safety and navigation.
MARACOOS-MA-009,Maritime transportation / navigation,OceansMap Insight: Navigation Chesapeake Bay,Chesapeake Bay shipping channel,MARACOOS,"Pilots, port operators, mariners","Assess winds, water levels, and currents along the shipping channel before and during transits",Better situational awareness can reduce transit risk and support more efficient vessel movement,"Insight places virtual stations along the shipping channel and exposes wind, water level, and current conditions at decision points",Not stated in source,Insights - MARACOOS,https://maracoos.org/insights/,Medium,Strong,Yes,Product-description page rather than usage analytics; no named user or avoided-delay metric; update cadence not quantified on the page; operational benefit is plausible but not monetized,"MARACOOS publishes a Chesapeake Bay navigation workflow that bundles channel wind, water-level, and current information for transit decisions.",Near-real-time,Insight is clearly decision oriented and maritime; good cautious row even without quantified outcomes.
MARACOOS-MA-010,Coastal hazards / beach safety,Virginia Beach MARACOOS webcamera and OceansMap feed,"Virginia Beach, Virginia",MARACOOS,"Virginia Beach Lifesaving Service, NWS, beach managers",Set rip-current and surf-condition advisories and daily beach-safety operations,"Better advisories can reduce rescues, injuries, and beach-management inefficiency at a major tourism site",News page says webcam supports NWS rip-current forecasts and Virginia Beach Lifesaving Service beach-safety decision-making,2025 news season context; exact date on page not extracted,MARACOOS Celebrates Virginia Beach Webcamera Installation - MARACOOS,https://maracoos.org/news/maracoos-celebrates-virginia-beach-webcamera-installation/,Medium,Strong,Yes,"News post, not outcome evaluation; no rescue counts or tourism metrics; AI rip-current detection mentioned as experimental; benefits are operational and public-safety oriented, not monetized",MARACOOS says its Virginia Beach webcam supports NWS rip-current forecasts and local beach-safety decisions.,Continuous / real-time imagery,Direct decision-use row with named local users and a concrete safety function.
