source_id,source_name,source_url,source_type,verification_status,rows_supported,notes
src-001-noaa-ports-tampa-bay-benefit-study,NOAA PORTS Tampa Bay benefit study,https://tidesandcurrents.noaa.gov/publications/Estimated_Economic_Benefits_from_NOAA_PORTS_report.pdf,case study,registered,EVID-0001,Registered from supplied matrix.
src-002-noaa-co-ops-ports-economic-study-summary,NOAA/CO-OPS PORTS economic study summary,https://research.fit.edu/media/site-specific/researchfitedu/coast-climate-adaptation-library/united-states/national/us---noaa-nas-nrc-reports/NOAA.-2012.-Value-of-Resilient-Coastal-Communities.pdf,secondary compilation,needs source verification,EVID-0002,"Check original report, full PDF, table, or updated source before using stronger claims."
src-003-noaa-value-of-ports-to-the-nation,NOAA Value of PORTS® to the Nation,https://nauticalcharts.noaa.gov/hsrp/meetings/seattle-2017/documents/value-ports-nation-aug2014.pdf,modeled estimate,needs source verification,EVID-0003,"Check original report, full PDF, table, or updated source before using stronger claims."
src-004-noaa-co-ops-ports-program-page,NOAA CO-OPS PORTS® program page,https://tidesandcurrents.noaa.gov/ports_info.html,program page,registered,EVID-0004,Registered from supplied matrix.
src-005-noaa-nccos-hab-forecasts,NOAA NCCOS HAB forecasts,https://coastalscience.noaa.gov/science-areas/habs/hab-forecasts/,report or web page,registered,EVID-0005,Registered from supplied matrix.
src-006-noaa-nccos-hab-forecasting-project,NOAA NCCOS HAB forecasting project,https://coastalscience.noaa.gov/project/harmful-algal-bloom-hab-forecasting/,report or web page,registered,EVID-0006,Registered from supplied matrix.
src-007-whoi-hab-socioeconomic-impacts,WHOI HAB socioeconomic impacts,https://hab.whoi.edu/impacts/impacts-socioeconomic/,report or web page,needs source verification,EVID-0007,"Check original report, full PDF, table, or updated source before using stronger claims."
src-008-neracoos-hab-project-page,NERACOOS HAB project page,https://p5.neracoos.org/projects/habs.html,program page,needs source verification,EVID-0008,"Check original report, full PDF, table, or updated source before using stronger claims."
src-009-ioos-hf-radar-sarops-documentation-and-usc,IOOS HF radar/SAROPS documentation and USCG SAROPS page,https://cdn.ioos.noaa.gov/media/2017/12/sarops_hfr_info2012.pdf,program page,registered,EVID-0009,Registered from supplied matrix.
src-010-sccoos-hf-radar-page,SCCOOS HF radar page,https://sccoos.org/high-frequency-radar/,report or web page,registered,EVID-0010,Registered from supplied matrix.
src-011-ioos-pacific-oa-data-portal-launch,IOOS Pacific OA Data Portal launch,https://ioos.noaa.gov/news/ioos-pacific-regions-launch-ocean-acidification-data-portal/,report or web page,registered,EVID-0011,Registered from supplied matrix.
src-012-nanoos-oa-in-the-pacific-northwest,NANOOS OA in the Pacific Northwest,https://www.nanoos.org/products/oa/ocean_acidification.php?section=oa_in_pnw,report or web page,needs source verification,EVID-0012,"Check original report, full PDF, table, or updated source before using stronger claims."
src-013-noaa-fisheries-oa-overview,NOAA Fisheries OA overview,https://www.fisheries.noaa.gov/insight/understanding-ocean-acidification,report or web page,needs source verification,EVID-0013,"Check original report, full PDF, table, or updated source before using stronger claims."
src-014-noaa-ioos-ocean-enterprise-study,NOAA IOOS Ocean Enterprise Study,https://ioos.noaa.gov/project/ocean-enterprise-study/,survey,registered,EVID-0014,Registered from supplied matrix.
src-015-ioos-hurricane-glider-coordination,IOOS Hurricane Glider Coordination,https://ioos.noaa.gov/ioos-hurricane-glider-coordination/,report or web page,registered,EVID-0015,Registered from supplied matrix.
src-016-noaa-co-ops-inundation-dashboard,NOAA CO-OPS Inundation Dashboard,https://tidesandcurrents.noaa.gov/inundationdb/,report or web page,registered,EVID-0016,Registered from supplied matrix.
src-017-noaa-digital-coast-benefits-costs-report,NOAA Digital Coast benefits/costs report,https://coast.noaa.gov/data/digitalcoast/pdf/benefits-costs.pdf,report or web page,registered,EVID-0017,Registered from supplied matrix.
